date,z,c,d
2020-09-17,4113759,25,1
2020-09-17,4113809,55,0
2020-09-17,4113908,66,2
2020-09-17,4114005,78,2
2020-09-17,4114104,382,4
2020-09-17,4114203,251,7
2020-09-17,4114302,388,11
2020-09-17,4114351,16,0
2020-09-17,4114401,96,1
2020-09-17,4114500,97,4
2020-09-17,4114609,472,3
2020-09-17,4114708,42,0
2020-09-17,4114807,308,3
2020-09-17,4114906,47,0
2020-09-17,4115002,41,4
2020-09-17,4115101,69,3
2020-09-17,4115200,6650,119
2020-09-17,4115309,58,2
2020-09-17,4115358,30,2
2020-09-17,4115408,173,4
2020-09-17,4115457,14,1
2020-09-17,4115507,52,2
2020-09-17,4115606,641,4
2020-09-17,4115705,324,11
2020-09-17,4115739,7,0
2020-09-17,4115754,287,4
2020-09-17,4115804,951,8
2020-09-17,4115853,28,1
2020-09-17,4115903,22,1
2020-09-17,4116000,21,0
2020-09-17,4116059,177,0
2020-09-17,4116109,125,3
2020-09-17,4116208,418,6
2020-09-17,4116307,73,0
2020-09-17,4116406,70,1
2020-09-17,4116505,1,0
2020-09-17,4116604,42,0
2020-09-17,4116703,137,2
2020-09-17,4116802,14,0
2020-09-17,4116901,325,6
2020-09-17,4116950,78,1
2020-09-17,4117008,50,0
2020-09-17,4117057,48,1
2020-09-17,4117107,140,1
2020-09-17,4117206,46,0
2020-09-17,4117214,57,0
2020-09-17,4117222,62,0
2020-09-17,4117255,109,4
2020-09-17,4117271,35,2
2020-09-17,4117297,24,0
2020-09-17,4117305,406,9
2020-09-17,4117404,19,1
2020-09-17,4117453,73,5
2020-09-17,4117503,627,7
2020-09-17,4117602,144,2
2020-09-17,4117701,124,2
2020-09-17,4117800,17,0
2020-09-17,4117909,830,13
2020-09-17,4118006,54,3
2020-09-17,4118105,45,0
2020-09-17,4118204,3689,80
2020-09-17,4118303,24,0
2020-09-17,4118402,458,15
2020-09-17,4118451,18,0
2020-09-17,4118501,800,16
2020-09-17,4118600,18,2
2020-09-17,4118709,15,0
2020-09-17,4118808,108,4
2020-09-17,4118857,33,1
2020-09-17,4118907,147,3
2020-09-17,4119004,39,4
2020-09-17,4119103,61,2
2020-09-17,4119152,2746,73
2020-09-17,4119202,17,0
2020-09-17,4119251,4,0
2020-09-17,4119301,134,1
2020-09-17,4119400,147,4
2020-09-17,4119509,1891,73
2020-09-17,4119608,194,2
2020-09-17,4119657,19,1
2020-09-17,4119707,20,0
2020-09-17,4119806,250,1
2020-09-17,4119905,3256,83
2020-09-17,4119954,466,12
2020-09-17,4120002,203,1
2020-09-17,4120101,47,1
2020-09-17,4120150,23,1
2020-09-17,4120200,8,0
2020-09-17,4120309,25,1
2020-09-17,4120333,85,3
2020-09-17,4120358,27,1
2020-09-17,4120408,93,2
2020-09-17,4120507,63,2
2020-09-17,4120606,88,1
2020-09-17,4120655,24,0
2020-09-17,4120705,62,3
2020-09-17,4120804,515,12
2020-09-17,4120853,43,0
2020-09-17,4120903,184,7
2020-09-17,4121000,34,0
2020-09-17,4121109,96,5
2020-09-17,4121208,298,6
2020-09-17,4121257,129,1
2020-09-17,4121307,24,2
2020-09-17,4121356,6,0
2020-09-17,4121406,119,2
2020-09-17,4121505,28,3
2020-09-17,4121604,89,2
2020-09-17,4121703,192,6
2020-09-17,4121752,46,0
2020-09-17,4121802,19,1
2020-09-17,4121901,223,11
2020-09-17,4122008,43,0
2020-09-17,4122107,15,1
2020-09-17,4122156,98,0
2020-09-17,4122172,34,0
2020-09-17,4122206,814,24
2020-09-17,4122305,360,12
2020-09-17,4122404,1184,36
2020-09-17,4122503,71,2
2020-09-17,4122602,103,2
2020-09-17,4122651,7,0
2020-09-17,4122701,110,2
2020-09-17,4122800,22,0
2020-09-17,4122909,55,2
2020-09-17,4123006,163,4
2020-09-17,4123105,8,1
2020-09-17,4123204,42,4
2020-09-17,4123303,32,1
2020-09-17,4123402,117,2
2020-09-17,4123501,391,9
2020-09-17,4123600,32,0
2020-09-17,4123709,60,3
2020-09-17,4123808,40,2
2020-09-17,4123824,29,0
2020-09-17,4123857,13,1
2020-09-17,4123907,187,13
2020-09-17,4123956,9,1
2020-09-17,4124004,28,2
2020-09-17,4124020,129,4
2020-09-17,4124053,378,7
2020-09-17,4124103,321,7
2020-09-17,4124202,24,1
2020-09-17,4124301,15,0
2020-09-17,4124400,96,1
2020-09-17,4124509,168,2
2020-09-17,4124608,16,0
2020-09-17,4124707,37,1
2020-09-17,4124806,117,2
2020-09-17,4124905,48,1
2020-09-17,4125001,158,4
2020-09-17,4125100,14,0
2020-09-17,4125209,174,1
2020-09-17,4125308,43,2
2020-09-17,4125357,43,0
2020-09-17,4125407,75,5
2020-09-17,4125456,38,2
2020-09-17,4125506,3403,148
2020-09-17,4125555,29,1
2020-09-17,4125605,240,6
2020-09-17,4125704,479,4
2020-09-17,4125753,79,0
2020-09-17,4125803,149,7
2020-09-17,4125902,8,0
2020-09-17,4126009,118,6
2020-09-17,4126108,80,1
2020-09-17,4126207,40,3
2020-09-17,4126256,968,13
2020-09-17,4126272,59,1
2020-09-17,4126306,140,5
2020-09-17,4126355,117,0
2020-09-17,4126405,34,1
2020-09-17,4126504,226,4
2020-09-17,4126603,102,8
2020-09-17,4126652,57,0
2020-09-17,4126678,188,7
2020-09-17,4126702,45,1
2020-09-17,4126801,199,5
2020-09-17,4126900,26,0
2020-09-17,4127007,29,1
2020-09-17,4127106,2009,40
2020-09-17,4127205,170,7
2020-09-17,4127304,47,2
2020-09-17,4127403,85,0
2020-09-17,4127502,221,10
2020-09-17,4127601,254,6
2020-09-17,4127700,3000,52
2020-09-17,4127809,50,0
2020-09-17,4127858,107,6
2020-09-17,4127882,88,0
2020-09-17,4127908,108,0
2020-09-17,4127957,92,2
2020-09-17,4127965,5,0
2020-09-17,4128005,85,1
2020-09-17,4128104,918,13
2020-09-17,4128203,299,6
2020-09-17,4128302,17,1
2020-09-17,4128401,97,2
2020-09-17,4128500,141,5
2020-09-17,4128534,50,2
2020-09-17,4128559,191,1
2020-09-17,4128609,38,3
2020-09-17,4128625,5,0
2020-09-17,4128633,52,0
2020-09-17,4128658,33,1
2020-09-17,4128708,67,0
2020-09-17,4128807,35,1
2020-09-10,4100103,63,0
2020-09-10,4100202,172,4
2020-09-10,4100301,73,0
2020-09-10,4100400,1447,42
2020-09-10,4100459,11,0
2020-09-10,4100509,172,1
2020-09-10,4100608,69,0
2020-09-10,4100707,109,4
2020-09-10,4100806,49,4
2020-09-10,4100905,24,0
2020-09-10,4101002,89,2
2020-09-10,4101051,27,0
2020-09-10,4101101,218,3
2020-09-10,4101150,44,1
2020-09-10,4101200,342,6
2020-09-10,4101309,65,0
2020-09-10,4101408,688,29
2020-09-10,4101507,2339,85
2020-09-10,4101606,198,1
2020-09-10,4101655,32,1
2020-09-10,4101705,168,7
2020-09-10,4101804,3343,49
2020-09-10,4101853,17,1
2020-09-10,4101903,252,11
2020-09-10,4102000,435,5
2020-09-10,4102109,351,5
2020-09-10,4102208,80,1
2020-09-10,4102307,202,5
2020-09-10,4102406,579,16
2020-09-10,4102505,149,4
2020-09-10,4102604,74,1
2020-09-10,4102703,15,0
2020-09-10,4102752,18,0
2020-09-10,4102802,135,4
2020-09-10,4102901,40,1
2020-09-10,4103008,32,0
2020-09-10,4103024,37,0
2020-09-10,4103040,3,0
2020-09-10,4103057,122,3
2020-09-10,4103107,192,2
2020-09-10,4103156,14,1
2020-09-10,4103206,99,1
2020-09-10,4103222,5,0
2020-09-10,4103305,52,0
2020-09-10,4103354,51,2
2020-09-10,4103370,30,0
2020-09-10,4103404,51,0
2020-09-10,4103453,175,1
2020-09-10,4103479,17,0
2020-09-10,4103503,74,2
2020-09-10,4103602,126,4
2020-09-10,4103701,1405,25
2020-09-10,4103800,66,2
2020-09-10,4103909,23,2
2020-09-10,4103958,5,1
2020-09-10,4104006,860,21
2020-09-10,4104055,43,0
2020-09-10,4104105,66,3
2020-09-10,4104204,2641,60
2020-09-10,4104253,451,9
2020-09-10,4104303,928,34
2020-09-10,4104402,45,0
2020-09-10,4104428,71,0
2020-09-10,4104451,63,1
2020-09-10,4104501,492,3
2020-09-10,4104600,160,0
2020-09-10,4104659,250,5
2020-09-10,4104709,84,1
2020-09-10,4104808,6623,127
2020-09-10,4104907,779,10
2020-09-10,4105003,72,0
2020-09-10,4105102,142,2
2020-09-10,4105201,134,8
2020-09-10,4105300,166,0
2020-09-10,4105409,85,2
2020-09-10,4105508,879,14
2020-09-10,4105607,254,1
2020-09-10,4105706,241,9
2020-09-10,4105805,2993,114
2020-09-10,4105904,283,7
2020-09-10,4106001,23,3
2020-09-10,4106100,51,1
2020-09-10,4106209,144,2
2020-09-10,4106308,276,6
2020-09-10,4106407,409,19
2020-09-10,4106456,219,0
2020-09-10,4106506,107,2
2020-09-10,4106555,60,1
2020-09-10,4106571,92,3
2020-09-10,4106605,101,0
2020-09-10,4106704,25,0
2020-09-10,4106803,39,1
2020-09-10,4106852,42,1
2020-09-10,4106902,32077,1104
2020-09-10,4107009,156,7
2020-09-10,4107108,41,0
2020-09-10,4107124,34,1
2020-09-10,4107157,134,1
2020-09-10,4107207,1129,14
2020-09-10,4107256,35,1
2020-09-10,4107306,24,1
2020-09-10,4107405,130,5
2020-09-10,4107504,175,1
2020-09-10,4107520,10,0
2020-09-10,4107538,8,0
2020-09-10,4107546,22,0
2020-09-10,4107553,6,1
2020-09-10,4107603,134,1
2020-09-10,4107652,1970,60
2020-09-10,4107702,59,0
2020-09-10,4107736,26,1
2020-09-10,4107751,39,1
2020-09-10,4107801,34,3
2020-09-10,4107850,4,0
2020-09-10,4107900,106,2
2020-09-10,4108007,290,5
2020-09-10,4108106,42,0
2020-09-10,4108205,29,2
2020-09-10,4108304,4791,70
2020-09-10,4108320,134,1
2020-09-10,4108403,1094,19
2020-09-10,4108452,112,4
2020-09-10,4108502,58,3
2020-09-10,4108551,2,0
2020-09-10,4108601,102,11
2020-09-10,4108650,18,1
2020-09-10,4108700,50,1
2020-09-10,4108809,223,3
2020-09-10,4108908,61,1
